trajectory,T (ms),volume_1 (mm),volume_2 (mm),volume_3 (mm),k,pressure_1 (bar),pressure_2 (bar),pressure_3 (bar),base_x (cm),base_y (cm),base_z (cm),tip_x (cm),tip_y (cm),tip_z (cm),tip_velocity_x (cm/s),tip_velocity_y (cm/s),tip_velocity_z (cm/s),tip_acceleration_x (cm/ss),tip_acceleration_y (cm/ss),tip_acceleration_z (cm/ss),timestamp
0,0.0,115.39835156249994,115.39835156249994,115.59877343749994,0,0.5044781331450182,0.6056086112995754,0.6093413073342111,5.3778896,1.2021244,-8.421604,1.8578916,0.03956437,0.06857681,,,,,,,1756801925.1079612
0,20.512819290161133,115.39835156249994,115.39835156249994,115.59877343749994,1,0.5084141922325075,0.6147927491703837,0.6119653467258707,5.3778896,1.2021244,-8.421604,1.8578578,0.039377235,0.06881485,-0.008229018,-0.045614097,0.05802155,,,,1756801925.128474
0,41.01371765136719,115.39835156249994,115.39835156249994,115.59877343749994,2,0.5543348815865488,0.6777696945702117,0.6263975633799979,5.3778896,1.2021244,-8.421604,1.8578279,0.039170545,0.06892078,-0.008045081,-0.04657337,0.05158458,0.008972255,-0.04679232,-0.31398845,1756801925.148975
0,61.08427047729492,115.39835156249994,115.39835156249994,115.59877343749994,3,0.7235854223485866,0.8693245701613553,0.7156149026964209,5.3778896,1.2021244,-8.421604,1.8580778,0.03895248,0.06870207,0.0060106283,-0.04812353,0.030370645,0.14723915,-0.052880786,-0.46258187,1756801925.1690454
0,81.64691925048828,115.39835156249994,115.39835156249994,115.59877343749994,4,1.2851298521637198,1.3049151091768325,1.0003231766914769,5.3778896,1.2021244,-8.421604,1.8582548,0.03803061,0.06949432,0.013414219,-0.083331674,0.06282542,0.18980224,-0.38475618,-0.054394573,1756801925.189608
0,102.16474533081055,115.39835156249994,115.39835156249994,115.59877343749994,5,1.9109632470745108,1.855963381425328,1.425417558140316,5.3778896,1.2021244,-8.421604,1.8591793,0.03521818,0.06711775,0.05578535,-0.20373628,-0.0655679,0.56485474,-1.4814498,-1.2950306,1756801925.210126
0,122.6193904876709,115.39835156249994,115.39835156249994,115.59877343749994,6,2.5656610752935567,2.439812146069567,2.0696192287927238,5.3778896,1.2021244,-8.421604,1.8603103,0.030791974,0.06808343,0.09992184,-0.37938023,-0.005243592,0.88343847,-2.9025593,-0.44618958,1756801925.2305806
0,143.1431770324707,115.39835156249994,115.39835156249994,115.59877343749994,7,3.204614667162645,3.085325836417804,2.783357943324108,5.3778896,1.2021244,-8.421604,1.8644545,0.017914657,0.058104247,0.2818612,-0.930938,-0.49042,2.4797118,-7.696862,-5.0848947,1756801925.2511044
0,163.71631622314453,115.39835156249994,115.39835156249994,115.59877343749994,8,3.70318215157795,3.761015979770126,3.444615870022302,5.3778896,1.2021244,-8.421604,1.86777,0.0076128035,0.0501209,0.386639,-1.2454876,-0.7803785,3.002346,-9.215321,-6.88669,1756801925.2716775
0,184.23104286193848,115.39835156249994,115.39835156249994,115.59877343749994,9,4.077107764889429,4.409153709510022,4.115057934591304,5.3778896,1.2021244,-8.421604,1.8758776,-0.008353179,0.024723493,0.70452994,-1.7746685,-1.8623259,5.5010614,-12.531351,-16.057482,1756801925.2921922
0,204.70929145812988,115.39835156249994,115.39835156249994,115.59877343749994,10,4.289654955613848,5.10846020738728,4.761883644635371,5.3778896,1.2021244,-8.421604,1.8853587,-0.018745856,0.0080987625,1.026603,-1.9272332,-2.3016846,7.546363,-11.515099,-17.136965,1756801925.3126705
0,225.27670860290527,115.39835156249994,115.39835156249994,115.59877343749994,11,4.378872294930272,5.7657820749979845,5.268323247225655,5.3778896,1.2021244,-8.421604,1.8968849,-0.025906194,-0.0060105,1.3816879,-1.8899224,-2.5273404,9.489938,-8.849268,-15.903851,1756801925.333238
0,245.73516845703125,115.39835156249994,115.39835156249994,115.59877343749994,12,4.351319881317846,6.429664041087839,5.617320486316369,5.3778896,1.2021244,-8.421604,1.9092792,-0.015545264,0.0065702703,1.7111866,-1.0054946,-1.4069228,10.813137,1.5667706,-1.7698545,1756801925.3536963
0,266.27111434936523,115.39835156249994,115.39835156249994,115.59877343749994,13,4.283094857134699,7.134218617748415,5.793131125557555,5.3778896,1.2021244,-8.421604,1.9226081,-0.022749938,0.037038557,2.0179996,-1.1552279,0.35811818,11.638568,-0.20483935,15.773888,1756801925.3742323
0,286.8475914001465,115.39835156249994,115.39835156249994,115.59877343749994,14,4.214869832951552,7.909622257983797,5.839051814911596,5.3778896,1.2021244,-8.421604,1.9270408,-0.04112821,0.14480639,1.8298221,-1.8173515,5.523923,7.4817996,-6.5996046,62.82989,1756801925.3948088
0,307.35182762145996,115.39835156249994,115.39835156249994,115.59877343749994,15,4.130900572418448,8.532831613502928,5.780010928599258,5.3778896,1.2021244,-8.421604,1.9175942,-0.040530555,0.25725278,1.0031397,-1.4247333,9.903196,-2.0780873,-1.4500537,92.979706,1756801925.415313
0,327.8675079345703,115.39835156249994,115.39835156249994,115.59877343749994,16,4.040371213406196,9.112744319059678,5.730154180157728,5.3778896,1.2021244,-8.421604,1.8936301,-0.08221474,0.40664423,-0.36557388,-3.1716075,15.204375,-15.005567,-18.189693,126.06306,1756801925.4358287
0,348.36769104003906,115.39835156249994,115.39835156249994,115.59877343749994,17,3.96821013013556,9.633616138304088,5.673737333237048,5.3778896,1.2021244,-8.421604,1.8520758,-0.11502196,0.5248434,-2.319484,-4.137624,17.929264,-31.066822,-23.97622,127.434494,1756801925.4563289
0,368.8814640045166,115.39835156249994,115.39835156249994,115.59877343749994,18,3.956401952873092,9.99835761374476,5.622568565099687,5.3778896,1.2021244,-8.421604,1.7551696,-0.19281259,0.6657111,-6.579547,-7.1022167,21.210392,-66.387146,-48.084415,133.9371,1756801925.4768426
0,389.41359519958496,115.39835156249994,115.39835156249994,115.59877343749994,19,3.956401952873092,10.192536528727562,5.572711816658157,5.3778896,1.2021244,-8.421604,1.6397307,-0.2941035,0.82735276,-10.885996,-10.615062,24.840933,-95.058105,-72.68556,142.51416,1756801925.4973748
0,409.8997116088867,115.39835156249994,115.39835156249994,115.59877343749994,20,3.9629620513522408,10.335546675573005,5.538599304566584,5.3778896,1.2021244,-8.421604,1.5036274,-0.37277365,0.9503606,-15.352558,-12.332263,25.877266,-119.65274,-74.91318,124.12887,1756801925.517861
0,430.4170608520508,115.39835156249994,115.39835156249994,115.59877343749994,21,3.9406577165231353,10.403771699756152,5.497926693995861,5.3778896,1.2021244,-8.421604,1.3178486,-0.44910336,1.0757201,-21.336664,-13.586018,26.811668,-154.05367,-72.15181,108.4114,1756801925.5383782
0,450.91772079467773,115.39835156249994,115.39835156249994,115.59877343749994,22,3.91441732260654,10.453628448197682,5.471686300079266,5.3778896,1.2021244,-8.421604,1.1476507,-0.5076474,1.1671913,-25.371494,-13.72456,25.911251,-162.60632,-59.07305,77.94474,1756801925.558879
0,471.4374542236328,115.39835156249994,115.39835156249994,115.59877343749994,23,3.865872593860839,10.46412460576432,5.45331802433765,5.3778896,1.2021244,-8.421604,1.0114925,-0.5544826,1.2403681,-26.932598,-13.262068,24.295134,-145.30052,-42.750717,46.604137,1756801925.5793986
0,491.9583797454834,115.39835156249994,115.39835156249994,115.59877343749994,24,3.8527523969025417,10.427388054281089,5.45200600464182,5.3778896,1.2021244,-8.421604,0.89927775,-0.582068,1.3027811,-27.01439,-11.953913,22.47754,-117.03758,-21.4511,19.568762,1756801925.5999196
0,512.4731063842773,115.39835156249994,115.39835156249994,115.59877343749994,25,3.876368751427477,10.343418793747984,5.457254083425139,5.3778896,1.2021244,-8.421604,0.8217225,-0.6050432,1.3543593,-25.391937,-10.68305,20.496202,-77.8128,-4.771264,-3.661004,1756801925.6204343
0,532.9372882843018,115.39835156249994,115.39835156249994,115.59877343749994,26,3.8999851059524127,10.283065887739816,5.45200600464182,5.3778896,1.2021244,-8.421604,0.7675263,-0.62290734,1.3975116,-22.961926,-9.419397,18.505663,-38.501038,8.533031,-22.382917,1756801925.6408985
0,553.480863571167,115.40182421874994,115.40092282756784,115.60097737898671,27,3.8921129877774345,10.263385592302368,5.442821866771012,5.3778896,1.2021244,-8.421604,0.7261002,-0.63837314,1.429053,-20.386042,-8.288346,16.339869,-5.7235622,17.837664,-38.99122,1756801925.661442
0,574.0220546722412,115.42715782355509,115.4400890846103,115.64002033645284,28,3.8645605741650098,10.279129828652326,5.428389650116885,5.3778896,1.2021244,-8.421604,0.683204,-0.65186906,1.4568986,-18.397137,-7.2876935,14.427495,14.786192,24.01302,-49.812866,1756801925.6819832
0,594.559907913208,115.49423596861207,115.51856456600498,115.72196300350494,29,3.8527523969025417,10.280441848348156,5.417893492550246,5.3778896,1.2021244,-8.421604,0.64700717,-0.6626049,1.47854,-16.480156,-6.3528876,12.595722,30.496735,28.313663,-57.68831,1756801925.702521
0,615.0500774383545,115.60528514817723,115.64324874160434,115.84341014817723,30,3.847504318119223,10.25420145443156,5.4113333940710975,5.3778896,1.2021244,-8.421604,0.62281066,-0.67177355,1.495736,-14.365006,-5.5297747,10.91581,45.042892,30.685154,-62.547897,1756801925.7230113
0,635.6034278869629,115.75973856051262,115.80736356051258,116.01076199801261,31,3.8645605741650098,10.201720666598373,5.410021374375268,5.3778896,1.2021244,-8.421604,0.6103303,-0.67916495,1.5088236,-12.099226,-4.783439,9.369405,58.082108,31.810547,-65.08604,1756801925.7435646
0,656.0871601104736,115.95182155213499,116.008893953178,116.21227077088501,32,3.8698086529483287,10.175480272681776,5.408709354679439,5.3778896,1.2021244,-8.421604,0.6003675,-0.68500787,1.5191921,-10.165757,-4.111998,8.001705,65.34378,32.004288,-65.42284,1756801925.7640483
