episode,reward,length,avg_reward,final_distance
1,363.0475231388516,1000,363.0475231388516,1.5307843630153335
2,1351.318631710801,1000,857.1830774248263,0.7437333766376296
3,1297.331511618007,1000,1003.8992221558865,0.7608997666878092
4,5707.671441852804,1000,2179.8422770801158,0.7190107692028123
5,7310.424422382777,1000,3205.9587061406482,0.777034497197656
6,9258.650381319292,1000,4214.740652003756,0.20423744327589033
7,4182.0157195278425,1000,4210.065661650054,0.5996319822046015
8,6443.938311386235,1000,4489.299742867076,0.3074730229543317
9,8272.854056305874,1000,4909.694666582498,0.6728684910542139
10,9433.113268975889,1000,5362.036526821837,0.41323561865011527
11,3437.9397446052926,1000,5669.525748968481,0.5439988379705388
12,4969.130767364085,1000,6031.3069625338085,0.6097728547685065
13,9788.396683189008,1000,6880.41347969091,0.08223885953589985
14,4965.576529302048,1000,6806.203988435834,0.5576090823226675
15,8989.354446030311,1000,6974.096990800588,0.5644444061782804
16,7171.682469586435,1000,6765.400199627302,0.2447808614099748
17,7669.330421759879,1000,7114.131669850506,0.5317400922359534
18,2393.984230014119,1000,6709.136261713294,0.562816545544553
19,4711.408458301864,1000,6352.991701912893,0.524137945181893
20,9358.434444038106,1000,6345.523819419114,0.47363461055133915
21,499.06321571676455,1000,6051.636166530262,0.771108056925624
22,9592.922173622095,1000,6514.015307156063,0.5857622605582142
23,9771.036040983461,1000,6512.279242935509,0.3130760228985241
24,9627.824309257916,1000,6978.5040209310955,0.3162604985941428
25,6927.638475855968,1000,6772.332423913661,0.6855534785950474
26,9005.779661520568,1000,6955.742143107073,0.346372415208796
27,562.1742801490742,1000,6245.026528945994,0.5707383590497342
28,1810.1926354312218,1000,6186.647369487704,0.5813603656524707
29,7810.632537305487,1000,6496.569777388066,0.5822505362863197
30,8958.968042092154,1000,6456.62313719347,0.252394209886332
31,8909.928435690608,1000,7297.709659190856,0.7214910248498877
32,9707.401459792873,1000,7309.157587807933,0.3877256669616451
33,8238.370043500041,1000,7155.890988059591,0.5937339032361684
34,368.26222246502016,1000,6229.934779380302,0.574307548394942
35,9292.953415717437,1000,6466.466273366448,0.08412091796801283
36,9512.144522491333,1000,6517.102759463525,0.6074186028334657
37,6862.321389022307,1000,7147.117470350849,0.5702742321638001
38,9847.256647588825,1000,7950.82387156661,0.26552196413815443
39,3838.778729989204,1000,7553.638490834981,0.5244086785090248
40,7259.3117238161785,1000,7383.672859007382,0.5380022359539849
41,9785.002250377209,1000,7471.180240476043,0.1782556802493008
