episode,reward,length,avg_reward,final_distance
1,-565.9073875822644,1000,-565.9073875822644,1.5299417037392895
2,558.2373708535882,1000,-3.83500836433808,1.0433349501460552
3,604.1872975596409,1000,198.83909361032158,1.3460317029386915
4,2420.7636927755743,1000,754.3202434016348,1.0948233515206678
5,3488.217962926752,1000,1301.0997873066583,0.34339181614722636
6,4545.0932381183065,1000,1841.765362441933,0.3792235047994377
7,5659.960004413884,1000,2387.2217398664975,0.7724810787268145
8,6061.6282479119645,1000,2846.5225533721805,0.3147435431774027
9,6538.053963535123,1000,3256.692710056952,0.23417347791352805
10,8172.689031840148,1000,3748.2923422352715,0.3737532422275421
11,8760.032583708271,1000,4680.886339364325,0.18549869452975778
12,7375.658753159678,1000,5362.628477594934,0.46014194927005064
13,8525.276353809879,1000,6154.737383219957,0.14461025289792762
14,9449.912610240055,1000,6857.6522749664055,0.16702721663644593
15,9521.653792697229,1000,7460.995857943453,0.2616678409995431
16,9425.842737907376,1000,7949.0708079223605,0.30692323170626484
17,9591.41027581879,1000,8342.215835062852,0.17222919465602907
18,9652.383735383472,1000,8701.291383810003,0.08156109523806014
19,9667.89690675865,1000,9014.275678132353,0.14442093298749042
20,9719.478361025707,1000,9168.95461105091,0.2594380724904025
21,9729.241667931297,1000,9265.875519473215,0.1323264818476333
22,9419.839181606792,1000,9470.293562317926,0.1817583714770825
23,9742.948568298518,1000,9592.060783766789,0.26110196198190644
24,9770.21943848232,1000,9624.091466591017,0.26169714439406966
25,9381.837111073391,1000,9610.109798428632,0.44804855441813113
26,9567.991174260342,1000,9624.324642063928,0.19644758333515355
27,9723.329961444519,1000,9637.516610626499,0.2328219790273885
28,9780.722099705283,1000,9650.350447058681,0.2366917632069702
29,9735.289583954409,1000,9657.089714778256,0.1730758951138641
30,9719.607226274185,1000,9657.102601303104,0.2730104190991822
31,9804.627459592499,1000,9664.641180469227,0.05606384296706615
32,9827.667078291654,1000,9705.423970137712,0.18608993327991108
33,9810.150420312182,1000,9712.14415533908,0.2850020023724546
34,9816.992882550669,1000,9716.821499745914,0.18392266853680997
35,9832.642246214305,1000,9761.902013260005,0.20804463245010846
36,9818.902381087828,1000,9786.993133942753,0.3097731073434129
37,9572.746392594594,1000,9771.934777057762,0.15204265109379864
38,9767.180325633159,1000,9770.58059965055,0.16521293407307538
39,9769.744707609143,1000,9774.026112016023,0.36460136620076206
40,9811.076708383105,1000,9783.173060226914,0.36296920601620153
41,9827.321904110908,1000,9785.442504678755,0.24586347011816478
42,9804.102950460394,1000,9783.08609189563,0.1208217672073338
43,9732.43483366751,1000,9775.31453323116,0.18260216558565642
44,9794.658081575935,1000,9773.08105313369,0.13476809741410128
45,9814.69505506172,1000,9771.28633401843,0.2922622648945551
46,9822.856285175334,1000,9771.68172442718,0.27103585487090837
47,9793.705980019462,1000,9793.777683169668,0.15680391465765495
48,9803.2206766005,1000,9797.381718266402,0.348734623003886
49,9824.045230257028,1000,9802.811770531189,0.20236867667009104
50,9750.95975276704,1000,9796.800074969584,0.1758901720939995
51,9686.277965113684,1000,9782.695681069861,0.11658552249752566
52,7334.840612899511,1000,9535.76944731377,0.676518120708574
53,9785.829237586802,1000,9541.1088877057,0.24299876806723453
54,9427.367204750606,1000,9504.37980002317,0.5353312397432484
55,9797.174781620171,1000,9502.627772679014,0.2164822711136111
56,9352.029833124028,1000,9455.545127473884,0.1974068484531334
57,6419.773608744646,1000,9118.151890346402,0.17618750427834015
58,9344.80663870585,1000,9072.310486556937,0.16703213059430194
59,5750.370687870466,1000,8664.94303231828,0.2150077798183409
60,9661.352281962307,1000,8655.982285237807,0.22372066894766401
61,9638.512354450037,1000,8651.205724171443,0.15200871423382156
62,9705.661149055413,1000,8888.287777787034,0.19967309707288988
63,9734.249702904524,1000,8883.129824318803,0.20703038758978176
64,9448.60701534586,1000,8885.25380537833,0.5059848985832992
65,8955.586214803725,1000,8801.094948696686,0.06573973313495124
66,9814.883800857779,1000,8847.38034547006,0.28309203762783425
67,9506.239728680119,1000,9156.026957463608,0.4012559142306529
68,6667.065431557746,1000,8888.252836748798,0.5632807374625186
69,787.303126232686,1000,8391.94608058502,0.516082167649581
70,1980.2636096924348,1000,7623.837213358032,0.5337892881298518
71,8338.18437829257,1000,7493.804415742286,0.24852550114495722
72,9781.975513308302,1000,7501.435852167575,0.30138025401366303
73,9336.058082268864,1000,7461.61669010401,0.30712682251042633
74,3922.5021833861015,1000,6909.006206908032,0.5321123655340353
75,4707.553614060947,1000,6484.202946833755,0.5523161812591948
76,9467.440025630995,1000,6449.458569311077,0.27417294404374754
77,9296.221916579072,1000,6428.4567881009725,0.22793363485957363
