episode,reward,length,avg_reward,final_distance
1,613.9133435031912,1000,613.9133435031912,1.659074948375912
2,943.1584987591013,1000,778.5359211311463,1.1854919118644398
3,2582.0358927939083,1000,1379.702578352067,0.7847450818828018
4,4553.508718830447,1000,2173.1541134716617,0.8633900488924621
5,699.9531629041315,1000,1878.5139233581558,0.8694120697477719
6,5839.966589035484,1000,2538.756034304377,0.737786004750747
7,7271.61893317748,1000,3214.879305571963,0.46122396665607196
8,3267.2929447231954,1000,3221.431010465867,0.42889623424106355
9,936.3566192131714,1000,2967.5338558822345,0.6399726844751958
10,9426.901956878382,1000,3613.470665981849,0.3810357679181621
11,4524.5235736362765,1000,4004.531688995158,0.24039431605268585
12,6467.18645381732,1000,4556.934484500979,0.2159311956602317
13,9340.052337120622,1000,5232.736128933651,0.3651899230696089
14,8848.957631144915,1000,5662.281020165097,0.1872252819852116
15,8851.904917313526,1000,6477.476195606037,0.48787268351119056
16,5529.886000304168,1000,6446.468136732906,0.49978482498516735
17,7272.826113554253,1000,6446.588854770583,0.4969532732580733
18,9088.325745104887,1000,7028.692134808752,0.49066877855819907
19,3410.491739368831,1000,7276.105646824319,0.6603088800150462
20,9315.821775219463,1000,7264.997628658426,0.21678238933914032
21,7393.889368374499,1000,7551.934208132248,0.6246587545578146
22,9707.716245860149,1000,7875.987187336532,0.3122994495274591
23,6724.619202031288,1000,7614.4438738275985,0.5255588816374615
24,5575.474422765775,1000,7287.095552989685,0.7120141563072083
25,7872.827318673188,1000,7189.18779312565,0.286812934314872
26,9178.809113108367,1000,7554.08010440607,0.6609328397412713
27,9678.552102283671,1000,7794.652703279013,0.274391450655954
28,9279.606109193282,1000,7813.780739687852,0.180068862304176
29,9190.062916051518,1000,8391.73785735612,0.45664627465931906
30,7667.929188759011,1000,8226.948598710074,0.5864725970715121
31,2161.5066510234215,1000,7703.710326974967,0.6231470088175174
32,4377.6821183619395,1000,7170.706914225145,0.7232795316025551
33,8925.727449917595,1000,7390.817739013777,0.4108351743633684
34,9789.891481068149,1000,7812.259444844014,0.20013143018742893
35,8748.283248325028,1000,7899.805037809198,0.31240473172507294
36,9266.039514780618,1000,7908.528077976423,1.2584206579518216
37,9725.610265756954,1000,7913.233894323751,0.5051693720277098
38,8976.849116990265,1000,7882.958195103451,0.5709379219876771
39,9047.08757602108,1000,7868.660661100405,0.44834876465223394
40,2506.5316327105074,1000,7352.520905495556,0.7637816747197216
41,9781.494695525302,1000,8114.519709945744,0.27558469826325793
