episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100,avg_distance,final_distance
1,-639.8162,300,300,0.994227409362793,-639.8162,-639.8162,-639.8162,2.1327210551087292,1.5958434189124213
2,-473.01843,300,600,1.5051357746124268,-556.41736,-556.41736,-556.41736,1.5767278122085004,2.756545634555991
3,-768.7445,300,900,1.975903034210205,-627.19305,-627.19305,-627.19305,2.5624816765954157,3.080832724639417
4,-657.606,300,1200,2.4330601692199707,-634.7963,-634.7963,-634.7963,2.192020337580788,2.0524776181714737
5,-327.207,300,1500,2.896848201751709,-573.27844,-573.27844,-573.27844,1.090689699468838,0.501211405396406
6,-525.7869,300,1800,3.4195199012756348,-565.3632,-565.3632,-565.3632,1.7526233682954633,1.1077714877899176
7,-797.9071,300,2100,4.329766035079956,-598.5838,-598.5838,-598.5838,2.6596888501166487,3.856590021348805
8,-787.71063,300,2400,4.841193675994873,-622.2246,-622.2246,-622.2246,2.625702229137433,3.5637204677284813
9,-369.87976,300,2700,5.3257951736450195,-594.1863,-594.1863,-594.1863,1.2329322852949693,0.6037717306991633
10,-720.77405,300,3000,5.787626266479492,-606.8451,-606.8451,-606.8451,2.4025805138021443,2.6630285701365928
11,-597.6893,300,3300,6.344191074371338,-602.6324,-606.01276,-606.01276,1.9922986286359015,1.8419204714620236
12,-668.3789,300,3600,6.934460163116455,-622.16846,-611.2099,-611.2099,2.2279288013712724,2.0899059773516777
13,-724.5551,300,3900,7.527430534362793,-617.74945,-619.9288,-619.9288,2.415185186208423,2.0059828233086794
14,-722.62555,300,4200,8.810985326766968,-624.2514,-627.2643,-627.2643,2.4087515193669677,1.9553495505458718
15,-737.8209,300,4500,9.332764863967896,-665.3128,-634.63477,-634.63477,2.4594036524595206,1.4018559976872036
16,-322.34433,300,4800,9.889378309249878,-644.96857,-615.1166,-615.1166,1.0744809929521442,1.1520110536490262
17,-423.32684,300,5100,10.355261325836182,-607.51056,-603.83484,-603.83484,1.4110897390340167,1.2619872571120758
18,-667.1778,300,5400,10.852634906768799,-595.4572,-607.3539,-607.3539,2.223925215138986,3.0422753568248364
19,-530.70605,300,5700,11.391161680221558,-611.5399,-603.3198,-603.3198,1.7690209924828086,1.5962660897248233
20,-640.5021,300,6000,12.005142211914062,-603.5127,-605.1789,-605.1789,2.1350080419722866,1.2741913600841126
21,-380.55167,300,6300,13.284740686416626,-581.79895,-594.48236,-594.48236,1.2685060128327288,0.7051295932838748
22,-602.20996,300,6600,13.785664558410645,-575.182,-594.8336,-594.8336,2.007366900403664,1.5567511125364772
23,-822.7275,300,6900,14.305650472640991,-584.99927,-604.74207,-604.74207,2.7424238996576906,3.2965137803862032
24,-347.67355,300,7200,14.841904640197754,-547.504,-594.0308,-594.0308,1.1922449235502366,0.4760312472471636
25,-523.15295,300,7500,15.31541395187378,-526.03723,-591.19574,-591.19574,1.743842928958843,1.6486136467049086
26,-725.3689,300,7800,15.957627773284912,-566.3397,-596.35626,-596.35626,2.4178960545999524,2.3679187457752313
27,-463.7884,300,8100,16.54997229576111,-570.38586,-591.44635,-591.44635,1.5459622341863,0.798144215249983
28,-402.08777,300,8400,17.773258924484253,-543.8769,-584.68353,-584.68353,1.3402927297803824,0.9739191472748767
29,-706.25964,300,8700,18.236191511154175,-561.43225,-588.8758,-588.8758,2.3541991069331014,1.4615862550827468
30,-442.2312,300,9000,18.75908327102661,-541.60516,-583.9876,-583.9876,1.4741039606438695,1.9880479488460179
31,-561.53455,300,9300,19.355706691741943,-559.7035,-583.26337,-583.26337,1.8717816845362052,1.576010240064826
32,-669.04065,300,9600,19.933359146118164,-566.38654,-585.94385,-585.94385,2.230136011371638,1.4622099657285275
33,-594.8713,300,9900,20.48739528656006,-543.6009,-586.21436,-586.21436,1.982904659118855,1.7125028646802805
34,-645.74036,300,10200,21.034279108047485,-573.40753,-587.96515,-587.96515,2.1524680357609074,2.4774908832288993
35,-516.48865,300,10500,22.213308095932007,-572.74115,-585.9229,-585.9229,1.7216280731869147,0.6287708018434693
36,-441.71408,300,10800,22.750194311141968,-544.3756,-581.9172,-581.9172,1.4723800512420417,1.1268526430010186
37,-499.78363,300,11100,23.2402925491333,-547.97516,-579.6973,-579.6973,1.6659454987578235,1.3541415247314617
38,-485.50967,300,11400,23.706178426742554,-556.3174,-577.2187,-577.2187,1.6183655958133056,2.2592544767548386
39,-684.91785,300,11700,24.191051483154297,-554.1832,-579.9802,-579.9802,2.28306036328105,3.004822250851192
40,-491.49973,300,12000,24.735960245132446,-559.11,-577.76825,-577.76825,1.638332483198709,1.0210698533818154
41,-453.2199,300,12300,26.036055326461792,-548.27856,-574.7305,-574.7305,1.510733236283625,1.7366721017354452
42,-496.61295,300,12600,26.505040884017944,-531.03577,-572.8706,-572.8706,1.6553765739678572,1.9845438774118271
43,-357.02704,300,12900,26.987184286117554,-507.2513,-567.85095,-567.85095,1.1900906012269195,1.8497012351701168
44,-287.1498,300,13200,27.477020978927612,-471.39233,-561.47144,-561.47144,0.9571656555750011,0.12021678642920479
45,-555.8865,300,13500,27.99406337738037,-475.33212,-561.3473,-561.3473,1.8529550239772234,0.7130617783804221
46,-635.71436,300,13800,28.552472591400146,-494.73218,-562.964,-562.964,2.1523815830399977,4.034557926465151
47,-506.93027,300,14100,29.159247398376465,-495.44678,-561.7718,-561.7718,1.6897667582560962,2.0763543968691196
48,-432.9238,300,14400,30.481323719024658,-490.18823,-559.0874,-559.0874,1.4430801085696365,1.5785794146370284
49,-457.391,300,14700,31.007405519485474,-467.43555,-557.01196,-557.01196,1.5246369779079763,2.779349846272759
50,-424.82327,300,15000,31.49653959274292,-460.76788,-554.3682,-554.3682,1.4160773155165267,0.8181741519925544
51,-537.8481,300,15300,32.14769458770752,-469.2307,-552.32886,-554.04425,1.7928265123607119,1.9548760952471265
52,-630.30145,300,15600,32.61114692687988,-482.59955,-555.4744,-555.51074,2.1010050089764607,2.131872401015548
53,-446.37692,300,15900,33.091434955596924,-491.53452,-549.0271,-553.4516,1.487923614011195,1.3528054651733419
54,-543.876,300,16200,33.613786935806274,-517.20715,-546.7525,-553.2743,1.812919506986284,1.2900601815091741
55,-547.7718,300,16500,34.82398223876953,-516.3957,-551.1638,-553.17426,1.8259044319513105,1.6981063591275807
56,-392.78128,300,16800,35.46639084815979,-492.1024,-548.5037,-550.3101,1.3092707581165275,1.2954699529255203
57,-488.99353,300,17100,35.99967861175537,-490.30875,-542.32544,-549.2344,1.6299785744437674,1.1782873086917034
58,-431.78506,300,17400,36.48733401298523,-490.1949,-535.2069,-547.2094,1.4392835906590675,1.8509590885002531
59,-476.53198,300,17700,37.01077628135681,-492.1089,-537.3399,-546.0115,1.5884402389790708,2.425099904477405
60,-378.59528,300,18000,37.49839687347412,-487.48608,-530.49634,-543.2212,1.2619846205942993,1.7887377406372253
61,-405.2902,300,18300,38.07544255256653,-474.23032,-526.64844,-540.96,1.3843005644723434,0.8692321017078699
62,-583.27893,300,18600,39.25605797767639,-469.52808,-524.9465,-541.6426,1.9775960599693068,2.590662209371972
63,-392.15134,300,18900,39.78988194465637,-464.10553,-518.2983,-539.2697,1.3071715595912865,0.9110651271160197
64,-522.1735,300,19200,40.32525134086609,-461.93524,-514.28925,-539.00256,1.740578742592408,1.934634353089606
65,-376.55835,300,19500,40.82982134819031,-444.81396,-507.06403,-536.5034,1.2551950742159197,1.0822200759928335
66,-315.9744,300,19800,41.479588747024536,-437.13324,-506.93668,-533.16205,1.0532478429612373,1.2401692227876335
67,-461.94232,300,20100,42.05964779853821,-434.42813,-507.70895,-532.09906,1.5398080557423737,1.7343699745057444
68,-492.47485,300,20400,42.63822150230408,-440.49707,-504.21487,-531.51636,1.6415832842909024,1.579857998609812
69,-319.63956,300,20700,43.93358635902405,-424.80786,-499.99353,-528.4457,1.0987987347799197,1.6815965003721716
70,-415.80173,300,21000,44.4093759059906,-428.5285,-495.49948,-526.8365,1.386005078153242,1.6676962808453362
71,-348.23987,300,21300,44.97070646286011,-422.8235,-494.85333,-524.32104,1.1607993873718976,0.5215396205646619
72,-545.7817,300,21600,45.46959352493286,-419.07373,-493.72473,-524.61914,1.8192720781157838,2.3008102586745833
73,-535.2953,300,21900,45.9690728187561,-433.38818,-487.9761,-524.7654,1.7843174651410458,1.8386115125306566
74,-435.3661,300,22200,46.45793557167053,-424.70743,-489.72992,-523.5573,1.451220451455371,2.459108798223893
75,-352.98367,300,22500,46.945358991622925,-422.34995,-486.3266,-521.283,1.176612742259155,0.8287015907940422
76,-570.8104,300,22800,48.17240524291992,-447.83356,-483.23544,-521.9347,1.9027014903557278,2.1817445383616407
77,-583.7555,300,23100,48.6432421207428,-460.01483,-485.63477,-522.73755,1.945852593972833,2.0104007020868715
78,-523.9189,300,23400,49.11945199966431,-463.15927,-488.07138,-522.7526,1.74639633844383,1.6288154170927518
79,-463.1575,300,23700,49.60612225532532,-477.51108,-483.20935,-521.9983,1.5438588938210547,1.6783792853546546
80,-531.89325,300,24000,50.076377868652344,-489.1202,-485.00256,-522.12195,1.7729767512594872,1.8486649613408626
81,-346.63928,300,24300,50.653879165649414,-488.9601,-480.70465,-519.95557,1.1554640048383507,1.1594620118390782
82,-368.09192,300,24600,51.75354599952698,-471.19116,-474.6857,-518.1036,1.2269727647136806,1.2195992393188955
